coord,weather,snow,rain,message,main,description,icon,base,main,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind,clouds,dt,sys,id,country,sunrise,sunset,timezone,id,name,cod
"{'lon': 20.0403, 'lat': -34.5322}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 286.15, 'feels_like': 286.07, 'temp_min': 286.15, 'temp_max': 286.15, 'pressure': 1012, 'humidity': 94}",,,stations,"{'temp': 286.15, 'feels_like': 286.07, 'temp_min': 286.15, 'temp_max': 286.15, 'pressure': 1012, 'humidity': 94}",,,,,,10000,"{'speed': 1.03, 'deg': 340}",{'all': 0},1612323249,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1612324942, 'sunset': 1612374295}",1015776,,,,7200,1015776,Bredasdorp,200
"{'lon': 71.7189, 'lat': 40.4272}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,,"{'temp': 274.15, 'feels_like': 268.89, 'temp_min': 274.15, 'temp_max': 274.15, 'pressure': 1027, 'humidity': 75}",,,stations,"{'temp': 274.15, 'feels_like': 268.89, 'temp_min': 274.15, 'temp_max': 274.15, 'pressure': 1027, 'humidity': 75}",,,,,,8000,"{'speed': 4.12, 'deg': 160}",{'all': 40},1612323295,"{'type': 1, 'id': 9014, 'country': 'UZ', 'sunrise': 1612318845, 'sunset': 1612355584}",1513491,,,,18000,1513491,Yangi Marg`ilon,200
"{'lon': 45.05, 'lat': -25.1667}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,,"{'temp': 299.47, 'feels_like': 300.9, 'temp_min': 299.47, 'temp_max': 299.47, 'pressure': 1014, 'humidity': 79, 'sea_level': 1014, 'grnd_level': 996}",,,stations,"{'temp': 299.47, 'feels_like': 300.9, 'temp_min': 299.47, 'temp_max': 299.47, 'pressure': 1014, 'humidity': 79, 'sea_level': 1014, 'grnd_level': 996}",,,,,,10000,"{'speed': 4.96, 'deg': 100}",{'all': 12},1612323027,"{'country': 'MG', 'sunrise': 1612319864, 'sunset': 1612367367}",1067565,,,,10800,1067565,Beloha,200
"{'lon': -17.1, 'lat': 32.6667}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,,"{'temp': 286.4, 'feels_like': 285.06, 'temp_min': 284.26, 'temp_max': 288.71, 'pressure': 1017, 'humidity': 78}",,,stations,"{'temp': 286.4, 'feels_like': 285.06, 'temp_min': 284.26, 'temp_max': 288.71, 'pressure': 1017, 'humidity': 78}",,,,,,8936,"{'speed': 1.79, 'deg': 315, 'gust': 3.13}",{'all': 33},1612323298,"{'type': 3, 'id': 2008291, 'country': 'PT', 'sunrise': 1612339300, 'sunset': 1612377766}",2264557,,,,0,2264557,Ponta do Sol,200
"{'lon': 128.1814, 'lat': -3.6954}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,{'1h': 0.37},,"{'temp': 304.15, 'feels_like': 305.58, 'temp_min': 304.15, 'temp_max': 304.15, 'pressure': 1007, 'humidity': 66}",,,stations,"{'temp': 304.15, 'feels_like': 305.58, 'temp_min': 304.15, 'temp_max': 304.15, 'pressure': 1007, 'humidity': 66}",,,,,,10000,"{'speed': 6.17, 'deg': 330}",{'all': 40},1612323611,"{'type': 1, 'id': 9361, 'country': 'ID', 'sunrise': 1612301590, 'sunset': 1612345735}",1651531,,,,32400,1651531,Ambon City,200
"{'lon': -41.0511, 'lat': -21.6403}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,,"{'temp': 297.92, 'feels_like': 297.62, 'temp_min': 297.92, 'temp_max': 297.92, 'pressure': 1015, 'humidity': 86, 'sea_level': 1015, 'grnd_level': 1014}",,,stations,"{'temp': 297.92, 'feels_like': 297.62, 'temp_min': 297.92, 'temp_max': 297.92, 'pressure': 1015, 'humidity': 86, 'sea_level': 1015, 'grnd_level': 1014}",,,,,,10000,"{'speed': 7.34, 'deg': 44}",{'all': 47},1612323290,"{'country': 'BR', 'sunrise': 1612340845, 'sunset': 1612387719}",3448903,,,,-10800,3448903,São João da Barra,200
"{'lon': -79.2353, 'lat': 42.097}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 270.3, 'feels_like': 263.39, 'temp_min': 269.15, 'temp_max': 270.93, 'pressure': 1006, 'humidity': 86}",,,stations,"{'temp': 270.3, 'feels_like': 263.39, 'temp_min': 269.15, 'temp_max': 270.93, 'pressure': 1006, 'humidity': 86}",,,,,,10000,"{'speed': 6.17, 'deg': 340, 'gust': 9.77}",{'all': 90},1612323272,"{'type': 1, 'id': 4588, 'country': 'US', 'sunrise': 1612268920, 'sunset': 1612305158}",5122534,,,,-18000,5122534,Jamestown,200
"{'lon': 124.9104, 'lat': 56.8479}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,,"{'temp': 241.65, 'feels_like': 234.42, 'temp_min': 241.65, 'temp_max': 241.65, 'pressure': 1019, 'humidity': 81, 'sea_level': 1019, 'grnd_level': 922}",,,stations,"{'temp': 241.65, 'feels_like': 234.42, 'temp_min': 241.65, 'temp_max': 241.65, 'pressure': 1019, 'humidity': 81, 'sea_level': 1019, 'grnd_level': 922}",,,,,,2358,"{'speed': 4.78, 'deg': 332}",{'all': 100},1612323865,"{'country': 'RU', 'sunrise': 1612308923, 'sunset': 1612339972}",2025261,,,,32400,2025261,Chul'man,200
,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,404
"{'lon': 9.6134, 'lat': 1.574}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 299.12, 'feels_like': 303.87, 'temp_min': 299.12, 'temp_max': 299.12, 'pressure': 1010, 'humidity': 85, 'sea_level': 1010, 'grnd_level': 1008}",,,stations,"{'temp': 299.12, 'feels_like': 303.87, 'temp_min': 299.12, 'temp_max': 299.12, 'pressure': 1010, 'humidity': 85, 'sea_level': 1010, 'grnd_level': 1008}",,,,,,10000,"{'speed': 0.91, 'deg': 206}",{'all': 100},1612323865,"{'country': 'GQ', 'sunrise': 1612330425, 'sunset': 1612373817}",2308278,,,,3600,2308278,Mbini,200
"{'lon': 74.4859, 'lat': 65.85}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,,"{'temp': 258.53, 'feels_like': 254.18, 'temp_min': 258.53, 'temp_max': 258.53, 'pressure': 1003, 'humidity': 95, 'sea_level': 1003, 'grnd_level': 996}",,,stations,"{'temp': 258.53, 'feels_like': 254.18, 'temp_min': 258.53, 'temp_max': 258.53, 'pressure': 1003, 'humidity': 95, 'sea_level': 1003, 'grnd_level': 996}",,,,,,5503,"{'speed': 1.38, 'deg': 209}",{'all': 84},1612323866,"{'country': 'RU', 'sunrise': 1612324226, 'sunset': 1612348875}",1495626,,,,18000,1495626,Pangody,200
"{'lon': 170.3133, 'lat': 69.7008}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 260.21, 'feels_like': 254.35, 'temp_min': 260.21, 'temp_max': 260.21, 'pressure': 1016, 'humidity': 89, 'sea_level': 1016, 'grnd_level': 1010}",,,stations,"{'temp': 260.21, 'feels_like': 254.35, 'temp_min': 260.21, 'temp_max': 260.21, 'pressure': 1016, 'humidity': 89, 'sea_level': 1016, 'grnd_level': 1010}",,,,,,10000,"{'speed': 3.61, 'deg': 88}",{'all': 100},1612323274,"{'country': 'RU', 'sunrise': 1612303869, 'sunset': 1612323231}",2122090,,,,43200,2122090,Pevek,200
"{'lon': -63.0578, 'lat': 18.217}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,,"{'temp': 298.66, 'feels_like': 299.98, 'temp_min': 298.15, 'temp_max': 299.15, 'pressure': 1016, 'humidity': 73}",,,stations,"{'temp': 298.66, 'feels_like': 299.98, 'temp_min': 298.15, 'temp_max': 299.15, 'pressure': 1016, 'humidity': 73}",,,,,,10000,"{'speed': 3.6, 'deg': 100}",{'all': 20},1612323774,"{'type': 1, 'id': 8801, 'country': 'AI', 'sunrise': 1612262696, 'sunset': 1612303616}",3573374,,,,-14400,3573374,The Valley,200
"{'lon': -94.2008, 'lat': 46.358}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 265.85, 'feels_like': 260.69, 'temp_min': 265.37, 'temp_max': 266.15, 'pressure': 1021, 'humidity': 86}",,,stations,"{'temp': 265.85, 'feels_like': 260.69, 'temp_min': 265.37, 'temp_max': 266.15, 'pressure': 1021, 'humidity': 86}",,,,,,10000,"{'speed': 3.09, 'deg': 150}",{'all': 1},1612323866,"{'type': 1, 'id': 3497, 'country': 'US', 'sunrise': 1612273109, 'sunset': 1612308154}",5019116,,,,-21600,5019116,Brainerd,200
"{'lon': 5.1352, 'lat': 61.9875}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 268.71, 'feels_like': 264.43, 'temp_min': 268.71, 'temp_max': 268.71, 'pressure': 1008, 'humidity': 84}",,,stations,"{'temp': 268.71, 'feels_like': 264.43, 'temp_min': 268.71, 'temp_max': 268.71, 'pressure': 1008, 'humidity': 84}",,,,,,10000,"{'speed': 2.14, 'deg': 106}",{'all': 0},1612323301,"{'type': 3, 'id': 2003008, 'country': 'NO', 'sunrise': 1612339169, 'sunset': 1612367223}",3146487,,,,3600,3146487,Raudeberg,200
"{'lon': 168.8643, 'lat': -46.1927}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,,"{'temp': 289.34, 'feels_like': 286.89, 'temp_min': 289.34, 'temp_max': 289.34, 'pressure': 1021, 'humidity': 61, 'sea_level': 1021, 'grnd_level': 1014}",,,stations,"{'temp': 289.34, 'feels_like': 286.89, 'temp_min': 289.34, 'temp_max': 289.34, 'pressure': 1021, 'humidity': 61, 'sea_level': 1021, 'grnd_level': 1014}",,,,,,10000,"{'speed': 3.06, 'deg': 199}",{'all': 85},1612323269,"{'country': 'NZ', 'sunrise': 1612287636, 'sunset': 1612340160}",6201424,,,,46800,6201424,Mataura,200
"{'lon': 145.5913, 'lat': -38.6044}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,,"{'temp': 294.74, 'feels_like': 291.54, 'temp_min': 293.71, 'temp_max': 296.48, 'pressure': 1011, 'humidity': 68}",,,stations,"{'temp': 294.74, 'feels_like': 291.54, 'temp_min': 293.71, 'temp_max': 296.48, 'pressure': 1011, 'humidity': 68}",,,,,,10000,"{'speed': 7.1, 'deg': 119}",{'all': 31},1612323866,"{'type': 3, 'id': 2004514, 'country': 'AU', 'sunrise': 1612294309, 'sunset': 1612344658}",2154826,,,,39600,2154826,Wonthaggi,200
"{'lon': 42.6747, 'lat': 50.5287}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 275.15, 'feels_like': 271.43, 'temp_min': 274.26, 'temp_max': 275.93, 'pressure': 1002, 'humidity': 93}",,,stations,"{'temp': 275.15, 'feels_like': 271.43, 'temp_min': 274.26, 'temp_max': 275.93, 'pressure': 1002, 'humidity': 93}",,,,,,341,"{'speed': 2.69, 'deg': 207}",{'all': 100},1612323866,"{'type': 3, 'id': 2016483, 'country': 'RU', 'sunrise': 1612327295, 'sunset': 1612361077}",519062,,,,10800,519062,Novoanninskiy,200
"{'lon': 126.9078, 'lat': 41.8069}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.9226},,,"{'temp': 261.88, 'feels_like': 256.3, 'temp_min': 261.88, 'temp_max': 261.88, 'pressure': 1023, 'humidity': 79, 'sea_level': 1023, 'grnd_level': 978}",,,stations,"{'temp': 261.88, 'feels_like': 256.3, 'temp_min': 261.88, 'temp_max': 261.88, 'pressure': 1023, 'humidity': 79, 'sea_level': 1023, 'grnd_level': 978}",,,,,,10000,"{'speed': 3.22, 'deg': 238}",{'all': 61},1612323866,"{'country': 'CN', 'sunrise': 1612305782, 'sunset': 1612342155}",2036069,,,,28800,2036069,Linjiang,200
"{'lon': -65.0385, 'lat': -42.7692}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 295.44, 'feels_like': 290.37, 'temp_min': 295.44, 'temp_max': 295.44, 'pressure': 1015, 'humidity': 39, 'sea_level': 1015, 'grnd_level': 1014}",,,stations,"{'temp': 295.44, 'feels_like': 290.37, 'temp_min': 295.44, 'temp_max': 295.44, 'pressure': 1015, 'humidity': 39, 'sea_level': 1015, 'grnd_level': 1014}",,,,,,10000,"{'speed': 6.46, 'deg': 358}",{'all': 0},1612323679,"{'country': 'AR', 'sunrise': 1612344351, 'sunset': 1612395727}",3840092,,,,-10800,3840092,Puerto Madryn,200
"{'lon': 56.6244, 'lat': 52.7161}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",{'1h': 0.865},,,"{'temp': 274.19, 'feels_like': 270.22, 'temp_min': 274.19, 'temp_max': 274.19, 'pressure': 1018, 'humidity': 95, 'sea_level': 1018, 'grnd_level': 989}",,,stations,"{'temp': 274.19, 'feels_like': 270.22, 'temp_min': 274.19, 'temp_max': 274.19, 'pressure': 1018, 'humidity': 95, 'sea_level': 1018, 'grnd_level': 989}",,,,,,28,"{'speed': 2.91, 'deg': 216}",{'all': 100},1612323866,"{'country': 'RU', 'sunrise': 1612324364, 'sunset': 1612357311}",524681,,,,18000,524681,Mrakovo,200
"{'lon': -69.3632, 'lat': 77.484}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 248.53, 'feels_like': 244.12, 'temp_min': 248.53, 'temp_max': 248.53, 'pressure': 1031, 'humidity': 82, 'sea_level': 1031, 'grnd_level': 1026}",,,stations,"{'temp': 248.53, 'feels_like': 244.12, 'temp_min': 248.53, 'temp_max': 248.53, 'pressure': 1031, 'humidity': 82, 'sea_level': 1031, 'grnd_level': 1026}",,,,,,2360,"{'speed': 0.9, 'deg': 348}",{'all': 100},1612323267,"{'country': 'GL', 'sunrise': 0, 'sunset': 0}",3831208,,,,-14400,3831208,Qaanaaq,200
"{'lon': -116.9516, 'lat': 47.718}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,,"{'temp': 275.32, 'feels_like': 270.45, 'temp_min': 274.26, 'temp_max': 276.48, 'pressure': 1010, 'humidity': 70}",,,stations,"{'temp': 275.32, 'feels_like': 270.45, 'temp_min': 274.26, 'temp_max': 276.48, 'pressure': 1010, 'humidity': 70}",,,,,,10000,"{'speed': 3.6, 'deg': 230}",{'all': 75},1612323866,"{'type': 1, 'id': 3672, 'country': 'US', 'sunrise': 1612278776, 'sunset': 1612313408}",5604353,,,,-28800,5604353,Post Falls,200
,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,404
"{'lon': -69.2181, 'lat': -51.6226}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 291.15, 'feels_like': 283.93, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 1007, 'humidity': 48}",,,stations,"{'temp': 291.15, 'feels_like': 283.93, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 1007, 'humidity': 48}",,,,,,10000,"{'speed': 9.26, 'deg': 250}",{'all': 0},1612323866,"{'type': 1, 'id': 8293, 'country': 'AR', 'sunrise': 1612343844, 'sunset': 1612398241}",3838859,,,,-10800,3838859,Río Gallegos,200
"{'lon': 80.5464, 'lat': 73.5069}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 241.56, 'feels_like': 233.39, 'temp_min': 241.56, 'temp_max': 241.56, 'pressure': 1019, 'humidity': 86, 'sea_level': 1019, 'grnd_level': 1013}",,,stations,"{'temp': 241.56, 'feels_like': 233.39, 'temp_min': 241.56, 'temp_max': 241.56, 'pressure': 1019, 'humidity': 86, 'sea_level': 1019, 'grnd_level': 1013}",,,,,,10000,"{'speed': 6.13, 'deg': 67}",{'all': 3},1612323270,"{'country': 'RU', 'sunrise': 1612330675, 'sunset': 1612339517}",1507390,,,,25200,1507390,Dikson,200
"{'lon': 35.2808, 'lat': 54.3244}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 263.03, 'feels_like': 257.11, 'temp_min': 263.03, 'temp_max': 263.03, 'pressure': 1014, 'humidity': 96, 'sea_level': 1014, 'grnd_level': 988}",,,stations,"{'temp': 263.03, 'feels_like': 257.11, 'temp_min': 263.03, 'temp_max': 263.03, 'pressure': 1014, 'humidity': 96, 'sea_level': 1014, 'grnd_level': 988}",,,,,,3738,"{'speed': 4.02, 'deg': 159}",{'all': 100},1612323867,"{'country': 'RU', 'sunrise': 1612329815, 'sunset': 1612362106}",527405,,,,10800,527405,Meshchovsk,200
"{'lon': 122.4739, 'lat': 9.7531}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,,"{'temp': 303.35, 'feels_like': 302.79, 'temp_min': 303.35, 'temp_max': 303.35, 'pressure': 1011, 'humidity': 61, 'sea_level': 1011, 'grnd_level': 1009}",,,stations,"{'temp': 303.35, 'feels_like': 302.79, 'temp_min': 303.35, 'temp_max': 303.35, 'pressure': 1011, 'humidity': 61, 'sea_level': 1011, 'grnd_level': 1009}",,,,,,10000,"{'speed': 7.38, 'deg': 39}",{'all': 56},1612323867,"{'country': 'PH', 'sunrise': 1612303924, 'sunset': 1612346141}",1722028,,,,28800,1722028,Cabadiangan,200
"{'lon': 96.1285, 'lat': 4.1363}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,{'1h': 0.1018},,"{'temp': 302.98, 'feels_like': 307.51, 'temp_min': 302.98, 'temp_max': 302.98, 'pressure': 1013, 'humidity': 66, 'sea_level': 1013, 'grnd_level': 1012}",,,stations,"{'temp': 302.98, 'feels_like': 307.51, 'temp_min': 302.98, 'temp_max': 302.98, 'pressure': 1013, 'humidity': 66, 'sea_level': 1013, 'grnd_level': 1012}",,,,,,10000,"{'speed': 0.84, 'deg': 107}",{'all': 51},1612323867,"{'country': 'ID', 'sunrise': 1612309843, 'sunset': 1612352869}",1214488,,,,25200,1214488,Meulaboh,200
"{'lon': 91.6419, 'lat': 48.0056}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 261.1, 'feels_like': 257.44, 'temp_min': 261.1, 'temp_max': 261.1, 'pressure': 1033, 'humidity': 78, 'sea_level': 1033, 'grnd_level': 863}",,,stations,"{'temp': 261.1, 'feels_like': 257.44, 'temp_min': 261.1, 'temp_max': 261.1, 'pressure': 1033, 'humidity': 78, 'sea_level': 1033, 'grnd_level': 863}",,,,,,10000,"{'speed': 0.41, 'deg': 73}",{'all': 3},1612323867,"{'country': 'MN', 'sunrise': 1612315126, 'sunset': 1612349740}",1516048,,,,25200,1516048,Khovd,200
"{'lon': 8.7815, 'lat': -0.7193}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 300.25, 'feels_like': 302.79, 'temp_min': 300.25, 'temp_max': 300.25, 'pressure': 1010, 'humidity': 82, 'sea_level': 1010, 'grnd_level': 1009}",,,stations,"{'temp': 300.25, 'feels_like': 302.79, 'temp_min': 300.25, 'temp_max': 300.25, 'pressure': 1010, 'humidity': 82, 'sea_level': 1010, 'grnd_level': 1009}",,,,,,10000,"{'speed': 4.47, 'deg': 198}",{'all': 100},1612323311,"{'country': 'GA', 'sunrise': 1612330462, 'sunset': 1612374180}",2396518,,,,3600,2396518,Port-Gentil,200
"{'lon': -82.4452, 'lat': 38.4193}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 269.25, 'feels_like': 263.9, 'temp_min': 268.15, 'temp_max': 270.15, 'pressure': 1016, 'humidity': 54}",,,stations,"{'temp': 269.25, 'feels_like': 263.9, 'temp_min': 268.15, 'temp_max': 270.15, 'pressure': 1016, 'humidity': 54}",,,,,,10000,"{'speed': 3.09, 'deg': 0}",{'all': 1},1612323867,"{'type': 1, 'id': 4438, 'country': 'US', 'sunrise': 1612269238, 'sunset': 1612306382}",4809537,,,,-18000,4809537,Huntington,200
"{'lon': -91.8524, 'lat': 36.7281}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 270.92, 'feels_like': 267.19, 'temp_min': 270.37, 'temp_max': 271.48, 'pressure': 1022, 'humidity': 74}",,,stations,"{'temp': 270.92, 'feels_like': 267.19, 'temp_min': 270.37, 'temp_max': 271.48, 'pressure': 1022, 'humidity': 74}",,,,,,10000,"{'speed': 1.42, 'deg': 76}",{'all': 1},1612323578,"{'type': 1, 'id': 6139, 'country': 'US', 'sunrise': 1612271302, 'sunset': 1612308834}",4414200,,,,-21600,4414200,West Plains,200
,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,404
"{'lon': 121.9, 'lat': -33.8667}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,,"{'temp': 300.15, 'feels_like': 296.41, 'temp_min': 300.15, 'temp_max': 300.15, 'pressure': 1010, 'humidity': 39}",,,stations,"{'temp': 300.15, 'feels_like': 296.41, 'temp_min': 300.15, 'temp_max': 300.15, 'pressure': 1010, 'humidity': 39}",,,,,,10000,"{'speed': 6.17, 'deg': 280}",{'all': 75},1612323013,"{'type': 1, 'id': 9525, 'country': 'AU', 'sunrise': 1612300552, 'sunset': 1612349789}",2071860,,,,28800,2071860,Esperance,200
"{'lon': -59.7968, 'lat': 3.3803}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,,"{'temp': 298.98, 'feels_like': 298.84, 'temp_min': 298.98, 'temp_max': 298.98, 'pressure': 1011, 'humidity': 73, 'sea_level': 1011, 'grnd_level': 1002}",,,stations,"{'temp': 298.98, 'feels_like': 298.84, 'temp_min': 298.98, 'temp_max': 298.98, 'pressure': 1011, 'humidity': 73, 'sea_level': 1011, 'grnd_level': 1002}",,,,,,10000,"{'speed': 5.9, 'deg': 62}",{'all': 77},1612323867,"{'country': 'GY', 'sunrise': 1612260809, 'sunset': 1612303938}",3379316,,,,-14400,3379316,Lethem,200
